idEvento,idAsociado,idEstadoConfir,idAsistencia,contEnvios
2,1,1,1,0
2,2,1,1,1
2,3,1,1,2
2,4,1,1,3
2,5,1,1,0
2,6,2,2,1
2,7,1,1,2
2,8,1,1,3
2,9,1,1,0
2,10,1,1,1
2,11,2,2,2
2,12,2,2,3
2,13,1,1,0
2,14,1,1,1
2,15,1,1,2
2,16,1,1,3
2,17,1,1,0
2,18,1,1,1
2,19,1,1,2
2,20,2,2,3
2,21,1,1,0
2,22,2,2,1
2,23,2,2,2
2,24,2,2,3
2,25,2,2,0
2,26,2,2,1
2,27,2,2,2
2,28,2,2,3
2,29,1,1,0
3,1,1,1,1
3,2,1,1,2
3,3,1,1,3
3,4,1,1,0
3,5,1,1,1
3,6,2,2,2
3,7,1,1,3
3,8,1,1,0
3,9,1,2,1
3,10,2,2,2
3,11,2,2,3
3,12,2,2,0
3,13,1,1,1
3,14,1,1,2
3,15,1,1,3
3,16,1,1,0
3,17,2,2,1
3,18,1,1,2
3,19,1,2,3
3,20,1,2,0
3,21,1,2,1
3,22,2,2,2
3,23,2,2,3
3,24,1,2,0
3,25,2,2,1
3,26,2,2,2
3,27,2,2,3
3,28,2,2,0
3,29,1,1,1
4,1,1,3,2
4,2,1,3,3
4,3,1,3,0
4,4,1,3,1
4,5,1,3,2
4,6,2,3,3
4,7,1,3,0
4,8,1,3,1
4,9,2,3,2
4,10,1,3,3
4,11,3,3,0
4,12,3,3,1
4,13,3,3,2
4,14,1,1,3
4,15,1,1,0
4,16,1,1,1
4,17,1,1,2
4,18,3,3,3
4,19,3,3,0
4,20,1,1,1
4,21,3,3,2
4,22,2,3,3
4,23,1,1,0
4,24,2,3,1
4,25,2,3,2
4,26,2,3,3
4,27,2,3,0
4,28,2,3,1
4,29,1,3,2
5,1,1,3,3
5,2,1,3,0
5,3,1,3,1
5,4,1,3,2
5,5,1,3,3
5,6,2,3,0
5,7,1,3,1
5,8,1,3,2
5,9,2,3,3
5,10,1,3,0
5,11,3,3,1
5,12,3,3,2
5,13,3,3,3
5,14,1,3,0
5,15,1,3,1
5,16,1,3,2
5,17,2,3,3
5,18,3,3,0
5,19,3,3,1
5,20,2,3,2
5,21,3,3,3
5,22,2,3,0
5,23,2,3,1
5,24,2,3,2
5,25,2,3,3
5,26,2,3,0
5,27,2,3,1
5,28,2,3,2
5,29,1,3,3
6,1,1,3,3
6,2,1,3,0
6,3,1,3,1
6,4,1,3,2
6,5,1,3,3
6,6,2,3,0
6,7,1,3,1
6,8,1,3,2
6,9,2,3,3
6,10,1,3,0
6,11,3,3,1
6,12,3,3,2
6,13,3,3,3
6,14,1,3,0
6,15,1,3,1
6,16,1,3,2
6,17,2,3,3
6,18,3,3,0
6,19,3,3,1
6,20,2,3,2
6,21,3,3,3
6,22,2,3,0
6,23,2,3,1
6,24,2,3,2
6,25,2,3,3
6,26,2,3,0
6,27,2,3,1
6,28,2,3,2
6,29,1,3,3
7,1,1,3,3
7,2,1,3,0
7,3,1,3,1
7,4,1,3,2
7,5,1,3,3
7,6,2,3,0
7,7,1,3,1
7,8,1,3,2
7,9,2,3,3
7,10,1,3,0
7,11,3,3,1
7,12,3,3,2
7,13,3,3,3
7,14,1,3,0
7,15,1,3,1
7,16,1,3,2
7,17,2,3,3
7,18,3,3,0
7,19,3,3,1
7,20,2,3,2
7,21,3,3,3
7,22,2,3,0
7,23,2,3,1
7,24,2,3,2
7,25,2,3,3
7,26,2,3,0
7,27,2,3,1
7,28,2,3,2
7,29,1,3,3
8,1,1,3,3
8,2,1,3,0
8,3,1,3,1
8,4,1,3,2
8,5,1,3,3
8,6,2,3,0
8,7,1,3,1
8,8,1,3,2
8,9,2,3,3
8,10,1,3,0
8,11,3,3,1
8,12,3,3,2
8,13,3,3,3
8,14,1,3,0
8,15,1,3,1
8,16,1,3,2
8,17,2,3,3
8,18,3,3,0
8,19,3,3,1
8,20,2,3,2
8,21,3,3,3
8,22,2,3,0
8,23,2,3,1
8,24,2,3,2
8,25,2,3,3
8,26,2,3,0
8,27,2,3,1
8,28,2,3,2
8,29,1,3,3
