idRol;idEstUsuario;cedula;nombreCompleto;correo;contrasena;telefono
3;1;111111222;GONZALEZ QUIROS PAOLA DANIELA;1ab@aso.co.cr;123456A;888888199
3;1;111111223;GRANADOS CORDERO MARIA JOSE;2ab@aso.co.cr;123456A;888888200
3;1;111111224;HERNANDEZ RODRIGUEZ DAVID JAVIER;3ab@aso.co.cr;123456A;888888201
3;1;111111225;HERRERA OVIEDO FEDERICO;4ab@aso.co.cr;123456A;888888202
3;2;111111226;HERRERA QUIROS JOSE MIGUEL;5ab@aso.co.cr;123456A;888888203
3;2;111111227;HIDALGO CALDERON IGNACIO;6ab@aso.co.cr;123456A;888888204
3;1;111111228;JARA CARBALLO GRACIELA;7ab@aso.co.cr;123456A;888888205
3;1;111111229;JIMENEZ VILLEGAS ALVARO;8ab@aso.co.cr;123456A;888888206
3;2;111111230;JOHNSON MATA ANGIE JACKELINE;9ab@aso.co.cr;123456A;888888207
3;1;111111231;LAITANO RODRIGUEZ MARIO;10ab@aso.co.cr;123456A;888888208
3;1;111111232;LEIVA OROZCO CINDY PATRICIA;11ab@aso.co.cr;123456A;888888209
3;2;111111233;MARIN ARRIETA JUAN CARLOS;12ab@aso.co.cr;123456A;888888210
3;1;111111234;MEZA LEANDRO HENRY;13ab@aso.co.cr;123456A;888888211
3;1;111111235;MONDRAGON ROJAS JUAN PABLO;14ab@aso.co.cr;123456A;888888212
3;1;111111236;MONGE AGUILAR NIDYA ISABEL;15ab@aso.co.cr;123456A;888888213
3;1;111111237;MONGE GARRO RODOLFO ALEXANDER;16ab@aso.co.cr;123456A;888888214
3;1;111111238;MONGE MARIN MONICA;17ab@aso.co.cr;123456A;888888215
3;1;111111239;MORA MIRANDA RAUL;18ab@aso.co.cr;123456A;888888216
3;1;111111240;MUNOZ LEIVA MICHAEL;19ab@aso.co.cr;123456A;888888217
3;2;111111241;MURILLO LORIA JACQUELINE                    ;20ab@aso.co.cr;123456A;888888218
3;2;111111242;NAVARRO OLIVER GERMAN;21ab@aso.co.cr;123456A;888888219
3;1;111111243;NAVARRO RODRIGUEZ CHRISTOPHER;22ab@aso.co.cr;123456A;888888220
3;1;111111244;ORTEGA VILLALOBOS ISABEL;23ab@aso.co.cr;123456A;888888221
3;1;111111245;OVARES CORDOBA ADRIAN;24ab@aso.co.cr;123456A;888888222
3;1;111111246;OVARES VILLAR JOHANNA;25ab@aso.co.cr;123456A;888888223
3;1;111111247;PICADO REYES ABY;26ab@aso.co.cr;123456A;888888224
3;1;111111248;QUESADA MOYA OMAR EMILIO  ;27ab@aso.co.cr;123456A;888888225
3;1;111111249;RAMOS NAVARRO CHRISTIAN;28ab@aso.co.cr;123456A;888888226
3;2;111111250;RETANA BONILLA ALFREDO;29ab@aso.co.cr;123456A;888888227
1;1;111111251;JIMENEZ PALACIOS MICK;30ab@aso.co.cr;123456A;888888228
2;1;111111252;PEREZ RAMIREZ GUSTAVO;31ab@aso.co.cr;123456A;888888229
